"japanese_translation","phrase","category","part_of_speech","explanation"
"すぐに対応します。","I'm on it.","仕事 / 被害・トラブル","","❶　「対応する」は英語で「deal with」「handle」という言い方をよくします。
たとえば
I'll handle it.
（私がやっておきます）
Can you handle that?
（あなたが対処してくれる？）
I'm dealing with it.
（今、対応しています）
We dealt with the problem.
（問題に対処しました）
❷　「対応中」「今、対応している」という意味を「be on it」で表せます。
「今、対応中」という意味ですが、何かを頼まれたときに「対応します」という意味で言うことも多いです。
I'm on it.
（対応中、対応します）
He's on it.
（彼が対応している）
Who's on it?
（誰が対応しているの？）
同じ「be on」で別の意味もあります。「人」を続けて：
It's on me.
（私のおごりです）
Lunch is on you.
（ランチは君のおごりだ）
❸　そして、２文字の単語を組み合わせただけの表現は他にも：
・be in（参加する）
I'm in.
（参加します、その話に乗った）
・be in on（グルである）
He was in on it.
（彼もグルだった）
・be up to（企む）
What are you up to?
（何を企んでいるの？）"
"彼はこの話に乗るかな？","Do you think he’ll go for it?","仕事","未来のこと","❶　「話に乗る」「提案に賛成する」「案を気に入る」は英語で「go for it」と言います。
漠然とした「it」の代わりに具体的な単語を置き換えられます。
たとえば、
He didn’t go for my proposal.
（私の提案を却下した）
I hope he goes for my idea.
（彼が私の案をかってくれるといいな）
❷　同じ「go for it」には「思い切って頑張る」という全く違う意味もあります。
リスクや不安もあるけど「思い切って頑張ってみる」感じです。
たとえば
I wasn't sure if I would succeed but I decided to just go for it.
（成功するか分からなかったけど、思い切ってやってみることにした）
He's going for gold.
（金メダルを狙って頑張っている）"
"嘘が下手だね。","You're a bad liar.","性格","形容詞","❶　「嘘をつく」は英語では「lie」という動詞を使います。
「tell a lie」は滅多に使わなくて、「lie」を動詞として使うのが一般的です。
たとえば
Don't lie.
（嘘をつかないで）
He's lying.
（彼は嘘をついている）
❷　動詞（〜する）に「er」をつけて「〜する人」というのは有名ですね。
・swim（泳ぐ）、swimmer（泳ぐ人）
・drive（運転する）、driver（運転する人）
・lie（嘘をつく）、liar（嘘つき）
その英語を使って面白い表現がいっぱいできます。
・まずは「〜が上手」「〜が下手」という表現：
I'm a good listener.
（聞き上手）
He's a good driver.
（運転が上手い）
I'm a bad singer.
（歌が下手）
You're a bad liar.
（嘘が下手）
他にも色々あります：
He's a fussy eater.
（食べ物の好き嫌いが多い）
I'm a light sleeper.
（眠りが浅い）
You're a fast learner!
（覚えが早い）
I was a late bloomer.
（遅咲きだった）"
"何もないよりはマシだ。","It’s better than nothing.","キメの一言","形容詞","❶　「何もないよりマシだ」は英語で「It's better than nothing.」と言います。
期待していた結果にならなかったときによく使う励ましの言葉です。
たとえば、
・ I came 3rd.
（3位だったよ）
と落ち込んでいる人に
It’s better than nothing.
（1位じゃないけど3位も悪くないよ）
・ I only got a 5% raise.
（給料は5％しか上がらなかった）
と言っている人に
It’s better than nothing.
（0％よりはいいじゃないか）
・I only caught 1 fish.
（魚は一匹しか釣れてない）
と言っている人に
It’s better than nothing.
（全く釣れないよりはマシだよ）
と励まします。
❷　他にも
Better late than never.
（全くしないよりは遅れてする方がマシ）
Better safe than sorry.
（用心に越したことはない）
という表現も一緒に覚えておきましょう。"
"身軽に旅行したい。","I want to travel light.","旅行","奇跡の応用法","❶　「身軽に旅行する」は英語で「travel light」と言います。
I like traveling light.
（身軽に旅行するのが好き）
It's summer so we can travel light.
（夏たから身軽に旅できるね）
❷　「ちょい足し」するだけ！
英語には、元々完結している「文」に色々付け足して応用する超便利な応用があります。
・形容詞はそのまま付け足すだけ
・名詞なら「with」で繋ぐ
・動詞なら「ing」にして付け足す
たとえば
I want to travel.
という「文」に：
・「light（軽い）」という形容詞をそのまま付け足して：
I want to travel light.
（身軽で旅行したい）
・「with no plan」（planは名詞だからwith）を付け足して：
I want to travel with no plan.
（ノープランで旅行したい）
・「looking good」（lookは動詞だからing）を付け足して：
I want to travel looking good.
（オシャレして旅行したい）
この３つは本当に便利なので、ニック式英会話では「奇跡の応用」と呼んでいます。
これは絶対にマスターしておきましょう。詳しくはこちらのYouTube動画をご覧ください："
"無神経なことを言わないで。","Don’t be insensitive.","性格","形容詞","❶　「無神経」は英語で「insensitive」という形容詞を使います。
たとえば
He’s so insensitive.
（彼は本当に無神経だね）
❷　今回の大事なポイントは「形容詞だからbe」とだけ考えることです。
日本語から考えると「Don’t say insensitive things.」になりますけど、
もっともっと簡単でより自然な英語は「形容詞だからbe」とだけ考えて：
Don't be insensitive.
です。
日本語から考えずに「形容詞だからbe」とだけ考える方が英語らしいし楽ですね。
同じように：
「意地悪しないで」は
Don't be mean.
「意地悪を言わないで」も
Don't be mean.
「バカなことを言わないで」は
Don't be stupid.
「バカなマネはやめて」も
Don't be stupid.
「正直に話してもいい？」は
Can I be honest?
「正直に答えてもいい？」も
Can I be honest?"
"ファッション業界でしか働いたことがない。","I’ve only ever worked in fashion.","仕事","完了形","❶　「〜しかしたことがない」は英語で「I've only ever ~」と言います。
・I've never (done)
（〜したことがない）
はすごく有名ですけど、
・I've only ever (done)
（〜しかしたことがない）
もいっぱい使うので覚えておきましょう。
たとえば
I've only ever lived in Tokyo.
（東京にしか住んだことがない）
I've only ever been to Hawaii.
（ハワイにしか行ったことがない）
I've only ever dated one guy.
（1人の男性としか付き合ったことがない）
He's only ever been angry once.
（1回しか怒ったことがない）
We've only ever had one fight.
（1回しか喧嘩したことがない）
❷　「〜しかない」という日本語は英語で「〜だけある」という表現になってしまいます。
たとえば
I can only stay 10 minutes.
（10分しかいられない）
I only have to work 4 days a week.
（週4日しか働かなくても大丈夫）
Only 5 people came.
（5人しか来なかった）
There was only one left.
（１つしか残ってなかった）"
"車は修理中です。","My car is in the shop.","交通 / 被害・トラブル","今のこと・一時的なこと","❶　「車は修理中」は英語でなんと「My car is in the shop.」という表現を使います。
この「the shop」は「販売店」ではなくて「修理工場」を指しています。
My car is being repaired.
（車は今修理中）
という、より真面目な表現も大正解ですけど、日常会話では
My car is in the shop.
という表現がとっても自然です。
❷　「えっ？これで言えちゃうの？！」のようなフレーズといえば...
「そのお店が繁盛している」は：
They do good business.
「我が社の業績はよかったです」は：
We had a good year.
「彼女はしっかり者」は：
She’s very together.
「私はDaveの意見に賛成」は：
I'm with Dave.
「日本は治安がいい」は：
Japan is safe.
英語のシンプルな単語や構文を使えば、実はいろんなことが超簡単に言えてしまいます！
↓ この新刊では、らくに話せる23のコツを紹介しているのでぜひチェックしてみてください："
"あなたに心配をかけたくなかった。","I didn’t want to worry you.","被害・トラブル","to 不定詞","「人に心配をかける」は英語で「worry 人」と言います。
・「worry」だけでは「心配する」（自動詞）
・「worry 人」と「人」を続けると「心配をかける」（他動詞）
たとえば
Don't worry.
（心配しないで）
Don't worry me.
（心配をかけないでよ）
他にも：
I'm sorry to worry you.
（心配をかけてごめんね）
You shouldn't worry your parents.
（親に心配をかけない方がいいよ）
I didn't want to worry you unnecessarily.
（余計な心配をかけたくなかった）
そして、
You had me worried.
（あなたには心配させられたよ）
も一緒に憶えておきましょう。"
"花粉症はどれくらいひどいの？","How bad is your hay fever?","健康・体調","形容詞","❶　「花粉症」は英語で「hay fever」が一般的で、「花粉症がひどい」は簡単に「bad」を使うだけです。
たとえば
I have hay fever.
（花粉症です）
I have really bad hay fever.
（花粉症がひどい）
または、
My hay fever is really bad.
（花粉症がひどい）
❷　「どれくらいひどいの？」は「How bad is ~?」と言います。
How old are you?
と同じ構文ですけど、
「How ＋形容詞（どれくらい？）」は何でも使えます。
たとえば
How confident are you?
（自信のほどは？）
How far is it?
（どれくらい遠いの？）
How good is your English?
（あなたの英語力はどれくらい？）
How bad are your symptoms?
（症状はどれくらいひどいの？）"
"英語力が停滞している。","My English has plateaued.","仕事 / 諺・おもしろ表現","完了形","成長などが「停滞する」は英語では「plateau（プラトー）」という動詞を使います。
❶　「plateau」は元々「高原」という意味の名詞ですけど、
・「成長」「伸びること」をグラフで表すと、山のように上がっていく斜面で、
・その成長が「停滞すること」を同じグラフで表すと「テッペンが平ったい山」「高原」のように見える
ことから「plateau」を「停滞する」という意味の動詞として使うようになりました。
たとえば、
Our sales have plateaued.
（売上が停滞しました）
He plateaued in his 20's.
（彼は20代でピークしました）
❷　「完了形」と「過去形」のそれぞれのメッセージの違い
完了形と過去形はそれぞれいろんな使い方がありますけど、一言で言えば：
・完了形は続いているニュアンス
・過去形は終わっているニュアンス
今回のフレーズは「has plateaued」と完了形なので：
・「また伸びるかもしれない」という可能性がまだある
と「まだ終わっちゃいない」意味合いが込められています。
もし、「My English plateaued」と過去形で言えば：
・「また伸びる可能性はもうない」
と「終わってもうた」のような意味が込められます。
言語を覚えるラーニングカーブは、伸びて停滞して、また伸びて停滞するのが当たり前のことなので、1回停滞したからと言って諦めないでくださいね。
完了形の感覚で考えましょう！
英語は時制でコミュニケーションする部分が大きくて、時制にはいろんなメッセージがこめられています。
詳しく知りたい人はぜひこちらのYouTube動画を観てみてください："
"おむつを替えないと。","He needs changing.","家の中","動名詞","❶　「おむつ」は英語で「diaper（米）」「nappy（英）」と言います。
たとえば
Can you change his diaper?
（あなたが赤ちゃんのおむつを替えてくれる？）
He's still in diapers.
（彼はまだおむつを履いています）
I forgot to bring a spare diaper!
（予備のおむつを持ってくるのを忘れちゃった）
We're out of diapers.
（おむつを切らしている）
❷　この「need ＋ 動詞ing」という構文は受け身の意味です。
たとえば親など、おむつを替える人が主語なら：
I changed his diaper.
（私が彼のおむつを替えた）
という表現ですけど、
赤ちゃんを主語にすると：
He needs changing.
（彼のオムツを替えないといけない）
という表現になります。
通常は「to 動詞」が続くはずの「need」に「動詞ing」が続くのは珍しいです。
さらに、「受け身」の意味なら「過去分詞」を使うはずなのに「動詞ing」を使うのも不思議ですが、
こういう構文があるのです。珍しいけど。
他にも：
These sheets need changing.
（このシーツを替えないとね）
The house needs cleaning.
（家を掃除しないとね）
The lawn needs mowing.
（芝生を刈らないとね）"
"もっと自覚を持ってほしい。","You need to be more self-aware.","性格","形容詞","❶　「自覚がある」「自覚を持つ」は英語で「self-aware」という形容詞を使います。
形容詞なので、大体「be動詞」と一緒に使います。
たとえば
He's very self-aware.
（彼は自覚がある人だね）
He's not very self-aware.
（自覚がない人だね）
You need to be more self-aware.
（もっと自覚を持ってほしい）
I wish he was a bit more self-aware.
（彼にもっと自覚があればよかったのにな）
❷　より具体的に「〜に対して自覚を持つ」を言うなら「self」なしで「be aware of ~」が一般的です。
たとえば
You need to be aware of why you feel this way.
（なぜこういう感情になるのかをもっと自覚した方がいい）
We need to be aware of how our actions affect others.
（自分たちの行動が他の人にどのような影響を与えるか意識した方がいい）
❸　他にも「mindful」を使う場合もあります。
たとえば
Let's all be mindful of our actions.
（一人ひとりが自覚を持った行動をしましょう）"
"出かける直前に彼から電話があった。","He called right before I went out.","電話・パソコン","過去のこと","「直前」は英語で「right before」又は「just before」と言います。
❶　時間的にも、場所的にも「right」は「すぐ」という意味で使います：
I’ll be back.
（また来ます）
I’ll be right back.
（すぐ戻ります）
It’s there.
（そこにある）
It’s right there.
（すぐそこにある）
❷　そして「before」「after」に付け足して：
・　right before（直前）
・　right after（直後）
という使い方も多いです：
He called right after I got home.
（帰り着いた直後に電話してきた）
It happened right before I graduated.
（それは卒業する直前に起きた）
❸　実は「before」の使い方で間違える人が多い。
日本語と英語は感覚が違うので、日本語に引っ張られて間違いやすいです。
たとえば、今回のフレーズで言うと：
・英語では、
... before I went out.
と、過去のことを過去形で言います。
・日本語では、過去のことでも「出かけた前に」と言わずに
「出かける前に」」と過去形にしないですね。
これは日本語と英語の感覚の違いによるもので、どちらの言語も理にかなっているんですけど、
日本語に引っ張られて「before I go out yesterday」のような間違いをする人が実は多いです。
この感覚の違いについて、そして間違えなくなるコツについてはぜひこちらのYouTube動画をご覧ください："
"順調です。","It's going well.","仕事","今のこと・一時的なこと","「順調」は英語ではとっても簡単に表現できます。
❶　「順調」という特別な単語にこだわらずに：
It's good.
（いい感じです）
So far so good.
（今のところは問題なし）
It's going well.
（うまくいっている）
のような表現が一般的です。
❷　今回のポイントは「go well」です。
日本語で「うまくいく」と「いく」を使うように、英語も「go」を使うのが面白いですね。
たとえば、
How's it going?
（うまくいっている？）
It's going well.
（うまくいっている）
It's not going well.
（うまくいってない）
How did it go?
（うまくいったの？）
It went well.
（うまくいった）
It went smoothly.
（スムーズにいった）
❸　他にも「go wrong（問題が発生する）」という言い方もあります。
たとえば
Something went wrong.
（問題が発生した）
Nothing's going to go wrong.
（問題は起きないだろう）
What went wrong?
（どんな問題が起きたの？　＝　うまくいかなった原因は何だったの？）
I don't know what went wrong.
（うまくいかなかった原因は分からない）"
"徹夜しちゃった。","I pulled an all-nighter.","仕事 / 諺・おもしろ表現","to 不定詞","「徹夜する」は英語で「pull an all nighter」と言います。
❶　この３つをカタマリとして覚えておきましょう：
・stay up（夜更かしする）
・stay up all night（朝まで起きる）
・pull an all nighter（仕事や勉強で朝まで起きる）
たとえば
Don't stay up.
（あまり遅くまで起きないでね）
I shouldn't have stayed up.
（夜更かししなきゃよかった）
I stayed up all night.
（一晩中起きていた）
I'm going to have to pull an all nighter.
（徹夜になりそうだな）
❷　更に応用しよう！
・「文」に「動詞 ing」を付け足して「〜して夜更かし・徹夜する」
・「文」に「to 動詞」を付け足して「〜するために夜更かし・徹夜する」
この２つの応用はすごく似ていて、使い分ける必要がない場合も多いけど、ニュアンスがちょっとだけ違います。
たとえば
I stayed up reading.
（読書して夜更かしした、夜更かしして本を読んでいた）
I stayed up all night playing video games.
（ゲームして朝まで起きちゃった、朝までゲームしていた）
I pulled an all nighter to write my essay.
（論文を書くために徹夜した）
We all pulled an all nighter to get it done.
（それを終わらせるために皆で徹夜した）
シンプルな文の最後に簡単な「ちょい足し」をするだけでいろんなことが簡単に言えてしまいます。
ぜひこちらのYouTube動画をご覧ください："
"お酒を我慢しなきゃいけない。","I have to go without alcohol.","遊び","to 不定詞","「我慢する」は英語ではいろんな表現を使い分けます！
そして、同じ日本語でも、英語では別の表現を使い分けることも多いので注意しましょう。
たとえば、この２つの日本語を比べてみましょう：
・チョコレートは我慢できない
（好きでやめられない）
・彼のいびきは我慢できない
（嫌いで耐えられない）
同じ「は我慢できない」でも逆の意味なので、やっぱり別の英語になります。
❶　「〜に耐える」は「stand」又は「put up with」
・「stand ~」は、大体「I can't stand ~（に耐えられない）」と否定文で使います
・「put up with ~」は大体「〜に耐える」と肯定文で使います
たとえば
I can't stand the cold.
（寒さには耐えられない）
I can't stand him snoring.
（彼のいびきには耐えられない）
I put up with the pain.
（痛みに耐えた）
I have to put up with it for 3 more months.
（あと３ヶ月の辛抱です）
❷　「〜なしで我慢する」は「do without」又は「go without」
この２つはどちらを使っても同じですが、「欲しいものがない状態に耐える」という意味です。
「お酒を我慢する」などはこの言い方になります。
たとえば
I have to do without alcohol for a week.
（１週間もお酒を我慢しなきゃいけない）
I can't believe I did without an assistant for 6 months.
（アシスタントがいない状況によく耐えたな）
❸　「〜で我慢する」は「make do with」
望ましくない選択肢で我慢する感じです。
たとえば
I wanted to drink Yona Yona Ale but I made do with Corona.
（よなよなエールが飲みたかったけど、コロナで我慢した）
うちの教室で「我慢する」を間違えている生徒さんが多かったので解説動画をYouTubeにアップしました！
ほとんどの人が誤解している「be patient」の解説も入っています。
ぜひ観てみてください："
"ワインをちびちび飲んでいるよ。","I'm sipping my wine.","レストラン・食べ物","今のこと・一時的なこと","「ちびちび飲む」は英語で「sip」と言います。
❶　「drink（飲む）」の代わりに「sip」という動詞を使います。
たとえば
I'm sipping my wine.
（ワインをちびちび飲んでいるよ）
It’s better to sip whiskey.
（ウィスキーはちびちび飲むのがうまいんだよ）
↑ by 中尾彬さん
❷　「sip」を名詞として使えば、飲み物の「一口」という意味にもなります。
・食べ物の「一口」は「a bite」
・飲み物の「一口」は「a sip」
と使い分けます。
たとえば
Can I have a bite?
（一口食べてもいい？）
Can I have a sip?
（一口飲んでもいい？）
Do you want a bite?
（一口食べる？）
Do you want a sip?
（一口飲む？）"
"無事に帰り着きました？","Did you get home OK?","家の中 / 遊び","奇跡の応用法","❶　「問題なく〜する」「無事に〜する」は英語で、「文」の最後に「OK」を付け足すだけで大丈夫なんです。
たとえば
Did you find the place OK?
（場所は問題なく見つかりましたか？）
Did you get the train OK?
（無事に電車に乗れましたか？）
❷　他の形容詞も「文」の最後にそのまま付け足すことができてすごく便利です！
たとえば
Don't go home.
（帰らないで）
Don't go home angry.
（怒ったまま帰らないで）
He went home.
（彼は帰った）
He went home sick.
（彼は具合悪くなって帰った）
I went to work.
（仕事に行った）
I went to work motivated.
（モチベーションが高い状態で仕事に行った）
本当に便利な応用なのでぜひものにしましょう！
この「文にちょい足しする」大変な便利な応用をマスターしたい人はぜひこちらのYouTube動画を観てみてください："
"ビールは冷たい方がうまい！","Beer tastes better cold.","五感 / 遊び","奇跡の応用法","「冷たい方が美味しい」「冷たい方がうまい」は英語で「〜 tastes better cold」と言います。
❶　「ビールはうまい」は「Beer tastes good.」と言います。
「taste（味がする）」は動詞として使います。
たとえば
It tastes strange.
（変な味がする）
How does it taste?
（味はどうですか？）
❷　英語には「文の最後に形容詞をそのまま付け足す」という応用があります。
たとえば
I woke up.
（起きた）
に「sick（病気・風邪）」という形容詞を付け足して：
I woke up sick.
（起きたら風邪だった）
他にも：
I woke up + sore.
（起きたら筋肉痛だった）
He came home + happy.
（彼は上機嫌で帰ってきた）
Come + ready.
（準備万端で来てね）
I went to work + not ready.
（準備ができてない状態で出社した）
そして、「cold（冷たい）」も形容詞なので
Beer tastes good.
（ビールはうまい）
にそのまま付け足して：
Beer tastes good cold.
（ビールは冷たいとうまい）
になります。
さらに、「good」を「better（よりおいしい）」にすれば：
Beer tastes better cold.
（冷たい方がうまい）
この「文にちょい足しする」大変な便利な応用をマスターしたい人はぜひこちらのYouTube動画を観てみてください："
"業者がいい加減な仕事をした。","The contractor did sloppy work.","仕事 / 被害・トラブル","形容詞","「いい加減な仕事」は英語で「sloppy work」と言います。
❶　「sloppy」は「いい加減な」という意味の形容詞です。
たとえば
He did such a sloppy job on the report. It was full of typos and didn't really make sense.
（彼が書いた報告書はすごくいい加減だったよ。ミスプリも多かったし、全体的によく分からなかったよ）
I'm not going to pay if the work is too sloppy.
（あまりにもいい加減な仕事だったら払うつもりはない）
❷　「contractor」は「業者」のことです。
そして、「下請け行者」は「subcontractor」と言います。
たとえば
We found a really good contractor.
（すごくいい業者を見つけた）
The contractor ripped me off.
（業者にぼったくられた）
They hired a subcontractor to handle that.
（彼らはその作業を下請け行者に任せた）"
"彼はもう来るはずです。","He should be here any minute.","遊び","未来のこと","「もう来るはず」は英語で「should be here any minute」というフレーズが一般的です。
❶　「should」は「した方がいい」以外にも、「はず」という意味で使うことも多いです。
たとえば、
It should be good.
（楽しいはずだよ）
Lots of people should come.
（人がいっぱい来るはず）
It shouldn't be a problem.
（問題にはならないはず）
We shouldn't be late.
（遅刻しないはず）
❷　「any minute」は「今にしそう」という意味です。
「今起きても、1分後に起きてもおかしくない」のような意味合いで、
「今にしそう」
「もうする」
という意味になります。
たとえば
It’s going to rain any minute.
（今に雨が降りそう）
It could happen any minute.
（それがいつ起きてもおかしくない、今起きてもおかしくない）
It should start any minute.
（もう始まるはず）
He should be here any minute.
（彼はもう来るはず）"
"なぜうまくいかないか分からない。","I don’t know what I’m doing wrong.","被害・トラブル","WH名詞節","やろうとしていることがなぜうまくいかないか分からないときによく使う英語です。
「自分が何を間違ってやっているか分からない」
という意味のフレーズですね。
・「〜を間違える」「やり方を間違える」は、文の最後に「wrong」を付け足します。
「wrong（間違っている）」は形容詞で、簡単に文に付け足して応用できます。
たとえば
You're doing it.
（君ははそれをやっている）
という文に「wrong」を付け足して：
You’re doing it wrong.
（やり方を間違えている）
同じように
What am I doing?
（私は何をやっているのかな？）
という文に「wrong」を付け足して：
What am I doing wrong?
（私は何を間違ってやっているのかな？）
他にも：
You're saying her name wrong.
（彼女の名前を間違って言っているよ）
What did I do wrong?
（私はどこで何を間違えたのかな？）
今回のフレーズでは
「what I'm doing（自分が何をやっているか）」というWH名詞節に「wrong」を付け足していますね。"
"どっちにもメリットとデメリットがある。","Each has its pros and cons.","仕事","普段のこと・習慣","❶　「メリット」は英語で「pro」、「デメリット」は英語で「con」と言います。
「merit」「demerit」という単語もありますけど、「pro」と「con」が一般的ですね。
たとえば
What are the pros and cons?
（そのメリットとデメリットは何ですか？）
Let’s weigh the pros and cons.
（メリットとデメリットを天秤にかけよう）
That’s a big pro.
（大きなメリットだ）
That’s a big con.
（大きなデメリットだ）
❷　他にも：
・upside（メリット）
・downside（デミリット）
という表現もよく使います。
たとえば
What's the upside to doing that?
（そうするメリットは何でしょう？）
I can't see a downside.
（デミリットが思い浮かばない）
The upside is that it's going to be a lot cheaper.
（メリットとしては、大分安くなる）
The downside is we have to wait longer.
（デミリットとしては、待つ時間が長くなる）"
"部屋が形になってきたね。","The room is coming together.","家の中 / 諺・おもしろ表現","今のこと・一時的なこと","❶　「〜が形になってきた」は英語で「〜 is coming together」と言います。
・「come together」には「一緒に来る」以外にも「形になる」「まとまる」という意味もあります。
・「進行形」にすれば「形になりつつある」「形になってきた」「まとまりはじめた」と、途中段階な感じですね。
たとえば
Your new place is really coming together.
（新居がいい感じになってきたね）
The project is coming together.
（プロジェクトが形になってきた、軌道に乗ってきた）
❷　ちなみに「bring 〜 together」なら「〜をまとめる」になります。
たとえば
This rug really brings the room together.
（この絨毯は部屋をまとめる、引き締める）
❸　「なりつつある」「なってきた」「なりはじめた」の表現。
・「変化」を表す動詞なら「進行形」
I'm falling in love.
（恋に落ち始めた）
I'm running out of money.
（金欠になってきた）
・「変化」じゃない動詞なら「be starting to」を使う
I'm starting to like her.
（彼女のことが好きになってきた）
I'm starting to think it's a good idea.
（いい案だと思い始めた）
・形容詞なら「be getting」を使う
I'm getting hungry.
（お腹が空いてきた）
I'm getting better.
（上達し始めた）（治りかけ）"
"厄払いをしに神社に行った。","I went to a shrine to get rid of bad luck.","健康・体調","to 不定詞","「厄祓いをする」は英語で「get rid of bad luck」と言います。
「get rid of 〜」は「〜をなくする」という意味ですが、幅広い意味で使います。
たとえば
Get rid of this table.
（このテーブルをどこかにやって）
Get rid of him.
（彼を追っ払って）（その彼氏を捨てなさい）
We got rid of all the bugs.
（バグをすべて取り除いた）
How do you get rid of stress?
（ストレスをどうやって解消しているの？）
I went to a shrine to get rid of bad luck.
（厄払いをしに神社に行った）
ちなみに、「rid」といえば、
Good riddance!
（いい厄介払いだ！）
という表現もあります。"
"しばらく連絡が取れなくなります。","I'm going to be off the grid.","仕事 / 旅行 / 諺・おもしろ表現","未来のこと","「私はしばらく連絡が取れなくなります」は英語ではこの表現をよく使います。
元の意味は：
「電力網（grid）から切り離される」
「インターネットや携帯電話のサービスが届かない場所にいる」
ですが、休暇を取って旅行するときに
「しばらく仕事のメールは見れないので」
のようなときににも使います。
たとえば
I've been off the grid for a week and only heard the news yesterday.
（１週間ほどネットやテレビを見てなかったのでそのニュースは昨日知った）
I'm going to be off the grid for 2 weeks and won't be able to see your emails.
（２週間連絡が取れない場所にいるので、いただいたメールを見ることができません）"
"ヤドリギの近くで待っているから。","I’ll be waiting near the mistletoe.","キメの一言 / 恋愛 / 諺・おもしろ表現","未来のこと","今回はクリスマス＆ロマンスをテーマにしました！
クリスマスを象徴する植物は「mistletoe（ヤドギリ）」です。
（発音は「ミスルトウ」）
西洋では、ヤドリギの下にいるならキスが許されるという古くて、そして不思議な風習があります。
普段はダメでも、そして交際相手ではなくても、ヤドリギの下に立っていればキスをしてもOKなのです！
クリスマスパーティーではドアの枠などにヤドリギが飾ってあって、
「そこで待っているから」＝「キスをしに来て」と誘いの言葉になります。
イギリスやアメリカの映画ではこのような場面はけっこう出てきます。
いい思いをしようと思ってヤドリギを持ち歩いているヤカラもたまにいます。
今回はあまり必要的な英語じゃなくて申し訳ないっす（笑）
そして、実際にキスをしようとしない方がいいと思います（汗）
でも、クリスマスに関する面白い文化ですね！"
"知らないふりしないで。","Don’t act like you don’t know.","キメの一言 / 被害・トラブル","","「とぼける」「知らないふりをする」は英語でこう言います。
「act」は「演技する」以外にも「振る舞う」という意味もあります。
「act」につづくのは：
・形容詞（そのまま続ける）
・like ＋名詞
・like ＋文
です。
＊「動詞」は必ず「文」という形になります。
たとえば
Don’t act stupid.
（バカな振る舞いはやめて）
Don’t act like my boyfriend.
（彼氏気取りしないで）
Don’t act like you don’t know.
（知らない振りしないで）"
"そのカップルはいつもペアルック。","They wear his-and-hers clothes.","ファッション・身だしなみ","形容詞","「ペアルック」は実は和製英語です。
英語では「his-and-hers」という形容詞を使います。
そして、セーターやタオルなど、名詞を続けます。
たとえば
They're wearing his-and-hers sweaters.
（彼らはペアルックのセーターを着ている）
They wear his-and-hers clothes.
（そのカップルはいつもペアルック）
We have his-and-hers towels.
（同じ柄のタオルを使っています）
I got you his-and-hers t-shirts.
（ペアルックのTシャツをあなた達に買ってきたよ）"
"豆腐はたんぱく質が豊富です。","Tofu is rich in protein.","レストラン・食べ物 / 健康・体調","形容詞","❶　「〜が豊富だ」は英語では「be rich in 〜」と言います。
食材の話でも、国の資源の話でも使います。
たとえば
Spinach is rich in iron.
（ほうれん草は鉄分が豊富）
Australia is rich in iron.
（オーストラリアは鉄がいっぱい採れる）
Lemons are rich in vitamin C.
（レモンはビタミンＣが豊富）
Tofu is rich in protein.
（豆腐はたんぱく質が豊富です）
❷　しかし、「rich」はやはり望ましいものにしか使いません。
そうでないものは「be high in」と言います。
たとえば
That’s high in sugar.
（糖分が多い）
❸　ちなみに、英語でも「tofu（トウフー）」と言います。「fu」を日本語以上に伸ばして発音します。"
"全体的にはよかったかな。","All in all it was good.","仕事 / 遊び","過去のこと","❶　マイナス面もあったけど「全体的にはよかった」の「全体的には」は英語で「all in all」と言います。
日本ではそれほど知られてないけど、よく使うのでレパートリーに入れておきましょう。
たとえば
All in all it was a good trip.
（色々あったけど全体的にはいい旅だった）
All in all he’s not a bad guy.
（よくない面もあるけど全体的には結構いいやつ）
All in all it was a good year.
（今年は色々あったけど全体的にはいい一年だった）
❷　同じ意味の他の言い方もあります。
・all things considered
・on the whole
も「all in all」と同じ意味で、そして同じように文の頭で使うのが一般的です。
たとえば
All things considered, it was a good trip.
（色々あったけど全体的にはいい旅だった）
On the whole, he's not a bad guy.
（よくない面もあるけど全体的には結構いいやつ）"
"今年は我が社の業績はよかった。","We had a good year.","仕事","形容詞","「我が社の業績はよかった」を英語で言いなさいと言われたらすごく難しそうな感じがしますけど、
実はこんなに簡単に言えてしまいます。
❶　これは：
Have a nice day.
（よい１日を）
と同じ
「have a 形容詞　時」
という構文ですが、本当によく使う構文です。
他にも：
Have a nice weekend.
（よい週末を）
Have a happy new year!
（良いお年を）
I had a good time.
（楽しかった）
I had a bad day.
（いやな１日だった）
I had a busy week.
（忙しい１週間だった）
The Yankees had a good year.
（今年のヤンキーズは強かった）
❷　自分の会社は「We（我々）」、他の会社は「They」で表すことが一般的です。
たとえば
We're killing it.
（我が社は今絶好調）
We're in the red.
（赤字です）
They do good business.
（その店が繁盛している）
They went bankrupt.
（その会社は倒産しました）
難しそうな内容でも、英語のシンプルな構文に沿って考えれば、いろんなことが案外簡単に言えてしまいます！
そのコツが気になる人はぜひこちらのYouTube動画をご覧ください："
